Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
VIN,22-06-11,19H 39M 0S,19:39,Avahi laniger,1,7,7,120,336332,8289318,-15.468098,49.474399,10,484,800,I,Ridge,SF,Stop,See,268,0
VIN,30-06-11,NA,,Avahi laniger,1,5,5,240,335759,8289283,-15.468377,49.469057,4,526,1500,I,Ridge,SF,Stop,See,269,0
VIN,05-07-11,19H 5M 0S,19:05,Avahi laniger,1,4,4,230,336392,8291383,-15.449439,49.475094,3,598,1050,N,Ridge,SF,Stop,See,270,0
VIN,07-07-11,20H 3M 0S,20:03,Avahi laniger,1,7,7,380,336649,8291587,-15.447612,49.477503,6,616,1425,N,Ridge,SF,Stop,See,271,0
VIN,07-07-11,20H 19M 0S,20:19,Avahi laniger,1,5,5,210,336840,8291387,-15.449431,49.479269,4,580,1700,N,Ridge,SF,Stop,See,272,0
VIN,18-06-11,19H 35M 0S,19:35,Avahi laniger,1,4,4,240,335643,8288891,-15.471913,49.46795,5,885,525,X,Ridge,SF,Stop,See,273,0
VIN,14-06-11,19H 2M 0S,19:02,Avahi laniger,3,7,7,260,335838,8288558,-15.474935,49.469745,5,557,1050,X,Ridge,SF,Stop,See,274,0
VIN,18-06-11,18H 20M 0S,18:20,Avahi laniger,1,6,6,320,336394,8288635,-15.474275,49.474931,3,527,1700,X,Ridge,SF,Stop,See,275,0
VIN,28-06-11,NA,,Avahi laniger,1,7,7,100,336414,8288577,-15.4748,49.475114,6,538,1725,X,Ridge,SF,Stop,See,276,0
VIN,06-07-11,18H 48M 0S,18:48,Avahi laniger,1,4,4,110,336044,8288521,-15.475282,49.471662,3,527,11300,X,Ridge,SF,Stop,See,277,0
VIN,06-07-11,8H 53M 0S,08:53,Indri indri,3,5,5,260,336178,8288536,-15.475155,49.472912,6,538,1450,X,Ridge,SF,Jumping,See,278,0
VIN,20-06-11,8H 58M 0S,08:58,Indri indri,NA,NA,NA,220,336253,8296323,-15.474802,49.474135,4,528,1600,X,Ridge,SF,Calling,Hear,279,0
VIN,16-06-11,20H 12M 0S,20:12,Microcebus rufus,2,2,2,70,336810,8289365,-15.467704,49.478856,9,477,250,I,Ridge,SF,Jumping,See,280,0
VIN,22-06-11,9H 6M 0S,09:06,Varecia variegata,NA,NA,NA,310,335844,8289345,-15.467822,49.469853,6,565,1375,I,Ridge,SF,Calling,Hear,281,0
1MGB,18-04-11,19H 36M 0S,19:36,Avahi laniger,1,6,6,220,339486,8306133,-15.316327,49.504876,9,558,500,G,Slope,SF,Stop,See,282,0
1MGB,26-04-11,19H 43M 0S,19:43,Avahi laniger,1,7,7,20,338616,8306463,-15.313291,49.496796,4,660,600,M,Slope,SF,Stop,See,283,0
1MGB,28-04-11,20H 49M 0S,20:49,Avahi laniger,1,8,8,300,339227,8306415,-15.313763,49.502483,8,620,25,G,Slope,SF,Stop,See,284,0
1MGB,02-05-11,18H 43M 0S,18:43,Avahi laniger,1,11,11,100,337701,8306282,-15.314869,49.488264,5,692,1700,M,Slope,SF,Stop,See,285,0
1MGB,02-05-11,19H 4M 0S,19:04,Avahi laniger,2,10,10,180,338130,8306416,-15.313685,49.492267,8,661,1250,M,Slope,SF,Stop,See,286,0
1MGB,04-05-11,19H 39M 0S,19:39,Avahi laniger,1,6,6,280,339217,8307534,-15.303649,49.502461,5,777,550,Z,Slope,SF,Stop,See,287,0
1MGB,06-05-11,19H 9M 0S,19:09,Avahi laniger,1,4,4,300,339426,8307868,-15.300643,49.504429,4,783,1050,Z,Slope,SF,Jumping,See,288,0
1MGB,06-05-11,19H 14M 0S,19:14,Avahi laniger,1,4,4,260,339424,8307847,-15.300833,49.504409,4,783,1025,Z,Slope,SF,Stop,See,289,0
1MGB,06-05-11,19H 48M 0S,19:48,Avahi laniger,1,8,8,120,339183,8307430,-15.304586,49.502138,8,740,300,Z,Slope,SF,Stop,See,290,0
1MGB,25-04-11,19H 17M 0S,19:17,Cheirogaleus major,1,10,10,300,339883,8305694,-15.32032,49.508545,5,466,1175,G,Slope,SF,Stop,See,291,0
1MGB,05-04-11,7H 45M 0S,07:45,Eulemur albifrons,5,3,3,240,339457,8306156,-15.316118,49.504608,5,604,475,G,Slope,SF,Jumping,Hear,292,0
1MGB,14-04-11,8H 20M 0S,08:20,Eulemur albifrons,3,8,8,220,339846,8305723,-15.320055,49.508203,4,523,1150,G,Slope,SF,Jumping,See,293,0
1MGB,09-05-11,10H 11M 0S,10:11,Eulemur albifrons,3,8,8,340,339495,8306146,-15.316211,49.504961,8,567,525,G,Slope,SF,Jumping,See,294,0
1MGB,13-05-11,8H 51M 0S,08:51,Eulemur albifrons,3,6,6,240,339866,8305702,-15.320246,49.508387,5,507,1150,G,Slope,SF,Stop,See,295,0
1MGB,14-05-11,8H 52M 0S,08:52,Eulemur albifrons,4,9,9,320,338366,8306499,-15.31295,49.49447,11,329,900,M,Slope,SF,Jumping,See,296,0
2MGB,12-06-12,19H 11M 0S,19:11,Avahi laniger,2,4,4,110,338229,8306413,-15.313718,49.493189,5,614,1075,M,Slope,SF,Jumping,See,297,0
2MGB,15-06-12,18H 17M 0S,18:17,Avahi laniger,1,6,6,100,340376,8305310,-15.323821,49.513112,5,386,2000,R,Slope,SF,Stop,See,298,0
2MGB,05-07-12,19H 30M 0S,19:30,Avahi laniger,1,8,8,200,339154,8307433,-15.304558,49.501868,5,708,925,Z,Slope,SF,Stop,See,299,0
2MGB,18-07-12,18H 53M 0S,18:53,Avahi laniger,1,3,3,340,338185,8306423,-15.313625,49.49278,11,616,1225,M,Slope,SF,Jumping,See,300,0
